orderid,itemid,cmtid,ctime,rating,userid,shopid,comment,rating_star,skin_suitability,absorption,model_name
102779218646034,3034933556,8019186889,1649516823,1,99140269,423318317,Received in a good condition and fast delivery. Thank you for the free gift too.,5,,,Hyalumelon Toner
107101617681339,3034933556,8568388980,1654324777,1,110746422,423318317,"Skin Suitability:best sangatttt
Absorption:cepat serap pada kulit saya

Sesuai utk kulit sensitif mcm saya, membantu kurangkan blemish redness dan mengelupas dan kulit kering serta combination skin macam saya",5,best sangatttt,cepat serap pada kulit saya,Skintella Moisturzer
107142475352744,3034933556,8497761170,1653667087,1,95937315,423318317,"Skin Suitability:oily skin
Absorption:Good

Purchase on 25/5/22 received on 27/5/22. Very good service. 2nd time purchased.",5,oily skin,Good,Coalberry Cleanser
123267969112401,3034933556,10213058070,1670026401,1,211705452,423318317,"Skin Suitability:All
Absorption:Good

Good quality product that works well on my skin. Thank you seller.",5,All,Good,Skintella Moisturzer
86230900093444,3034933556,6228180336,1633796079,1,540885189,423318317,"received well with freegifts. thanks seller. been using Kayman since 2018 and now it's my first time using the Moisturizer. hopefully it works well on my skin

delivery was super duper fast using J&T, only took 2 days. worth it 👍",5,,,
142154188288092,3034933556,11918784022,1688658159,1,21166219,423318317,"Skin Suitability:okay

Semuanya okay. Terima kasih seller. Barang dibungkus elok, penghantaran laju.",5,,,NEW Coalberry
116437699203786,3034933556,9537007185,1662975149,1,142638048,423318317,"Skin Suitability:suitable with dry, acne prone skin
Absorption:good

Item was wrapped carefully",5,"suitable with dry, acne prone skin",good,NEW Coalberry
102160625570148,3034933556,7923872502,1648781291,1,52845516,423318317,"Skin Suitability:oily skin
Absorption:Goooooddd!

Received in good condition. Comel ja free gift pun. Wraping semua kemas.",5,oily skin,Goooooddd!,Coalface Soap
114497692265805,3034933556,9320640409,1660908641,1,162418048,423318317,"Essence saya dh selamat sampai td..baru nk try, harap sesuai la dgn kulit saya. Penghantaran pantas sgt..saya suka..if sesuai, confirm order kt sni lg..terbaikk👍",5,,,Travel Essence 30ml
116133590280232,3034933556,9511424855,1662738628,1,66652605,423318317,"Skin Suitability:alpha arbutin boleh kurangakn. acne scar 😄
Absorption:yes

Tahnk you seller, packaging dan penghantaran bagus.",5,alpha arbutin boleh kurangakn. acne scar 😄,yes,Rosa Glow Essence
103349250508654,3034933556,8070764379,1649937270,1,60606351,423318317,"Skin Suitability:Absorb quicklh

The item was send so fast, good delivery. Love the wrapping & box. Thanks seller",5,,,Skintella Moisturzer
129051441241509,3034933556,10782395130,1676385730,1,75284875,423318317,"Skin Suitability:10/10
Absorption:Good absorption

Second bottle. Love the texture suit weather Malaysia. Not sticky at all. Help lock hydration throughout the day",5,10/10,Good absorption,Skintella Moisturzer
121659303134140,3034933556,10114674800,1669002320,1,48880929,423318317,"Skin Suitability:moisturizer dia suits me the most
Absorption:cepat menyerap. tapi toner take time la jugak.

Suka beli kat sini, delivery cepat laju👍🏻👍🏻",5,moisturizer dia suits me the most,cepat menyerap. tapi toner take time la jugak.,Skintella Moisturzer
